No.,Q1,Q2,Q3,Q4,Q5,Q6,OC1,OC2,OC3,OC4,OC5,PSS1,PSS2,PSS3,PSS4,PSS5,JS1,JS2,JS3,JS4,JS5,JP1,JP2,JP3
104,1,2,2,2,1,4,5,5,5,4,5,4,5,5,5,5,4,4,4,4,4,4,5,5
105,1,1,2,2,0,3,4,4,4,5,4,4,4,4,4,3,4,4,4,3,4,4,4,4
106,2,2,2,2,1,4,5,5,4,5,4,4,5,5,5,5,5,5,5,4,5,5,5,4
107,2,1,1,2,1,4,5,4,4,4,4,4,5,5,5,5,4,4,5,4,4,5,5,4
108,3,2,3,3,1,2,4,4,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5
109,1,1,2,2,1,4,4,5,4,4,5,4,4,4,4,4,5,5,4,5,5,5,4,5
110,1,1,2,2,0,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4
111,1,2,2,2,1,4,5,5,5,4,4,5,5,5,5,4,4,4,4,4,4,5,5,5
112,3,2,2,3,1,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
113,1,1,1,1,0,4,4,4,4,4,4,5,5,5,5,4,4,4,5,4,4,5,5,5
114,1,2,1,2,0,4,4,4,4,5,3,4,5,4,4,4,5,5,5,5,4,5,5,5
115,1,2,2,2,1,4,4,5,4,4,3,4,4,5,4,4,5,5,5,4,5,4,5,4
116,1,2,2,3,1,3,5,5,4,5,4,5,5,5,4,5,4,5,4,4,4,5,5,5
117,2,2,2,2,1,4,5,4,5,5,5,4,4,4,4,5,4,5,4,4,4,4,4,5
118,1,1,2,2,0,4,4,5,5,5,5,4,4,5,4,4,4,4,4,4,4,4,4,5
119,3,1,2,2,0,3,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5
120,3,2,2,2,1,3,4,5,4,4,5,5,5,5,4,5,4,4,4,5,4,5,5,5
121,1,1,2,3,0,4,4,5,5,5,4,4,4,4,4,4,5,5,5,5,4,5,4,4
122,1,2,1,1,0,4,5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,4,4
123,2,1,1,2,1,4,4,5,5,5,4,4,4,4,3,4,4,4,4,4,4,4,4,5
124,1,1,2,2,0,3,4,5,5,5,5,4,5,4,4,4,5,4,5,5,5,5,5,5
125,2,2,1,2,0,4,5,4,5,5,4,4,4,4,4,4,4,4,3,4,4,5,5,5
126,1,1,1,1,1,4,4,5,4,4,3,4,3,4,4,4,4,4,4,4,5,3,4,4
127,1,2,2,2,0,3,4,4,4,4,4,4,5,4,4,4,5,5,5,5,4,4,4,4
128,2,2,2,2,1,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
129,1,1,1,2,0,4,4,4,5,4,5,4,4,4,4,4,5,5,5,5,4,5,5,5
130,1,2,2,3,0,4,4,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5
131,1,2,2,3,1,3,4,4,4,4,2,3,2,3,3,3,2,3,3,3,3,3,4,3
132,1,1,1,2,0,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,5,5,5
133,1,2,2,2,0,4,4,5,5,5,4,4,5,4,4,4,4,4,5,4,4,4,5,5
134,1,1,2,2,0,4,5,5,5,5,5,4,4,4,5,4,4,4,5,4,4,4,4,4
135,1,2,2,2,1,4,5,5,5,5,5,4,4,5,4,4,4,5,5,5,5,4,4,4
136,2,2,1,2,1,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,4,4
137,3,1,3,3,1,3,4,4,4,4,4,5,4,4,4,4,5,4,5,5,5,4,4,4
138,3,2,3,3,1,3,4,4,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4
139,1,2,2,2,0,4,4,5,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4
140,4,1,3,4,1,1,3,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3
141,3,2,3,2,1,3,5,5,5,5,5,4,5,5,5,5,4,4,5,4,4,5,5,5
142,1,2,2,2,1,3,4,4,5,4,4,5,5,4,5,5,4,4,4,4,4,4,4,4
143,1,2,2,2,1,2,5,5,5,4,5,5,5,5,5,4,4,4,4,4,4,5,4,4
144,1,2,1,1,1,4,5,4,4,4,4,4,4,5,4,4,4,5,5,5,5,4,4,4
145,2,1,1,2,1,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,5
146,2,2,1,2,1,4,5,5,5,5,4,5,5,5,5,4,4,5,4,4,4,4,4,4
147,1,1,1,1,1,4,5,5,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5
148,3,2,3,2,0,3,4,5,5,5,4,4,4,4,4,4,4,4,4,4,5,4,5,5
149,2,2,1,2,0,4,5,5,4,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5
150,3,1,2,3,1,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4
151,3,2,2,3,1,2,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4
152,1,2,2,2,1,4,5,5,5,5,4,4,5,4,4,4,5,5,4,5,5,4,4,5
153,3,2,2,3,1,2,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,5,5
154,1,2,2,2,1,4,5,5,5,4,5,4,4,4,4,4,4,5,5,5,5,4,5,4
155,3,1,2,2,1,3,4,4,4,4,4,5,5,5,5,4,4,4,4,4,5,4,5,4
156,2,2,1,2,1,4,5,5,5,5,5,4,4,4,5,4,4,4,4,4,5,4,4,4
157,2,1,2,2,1,4,5,4,4,4,5,5,5,4,5,5,4,4,4,4,4,4,5,5
158,2,2,2,2,1,3,4,4,5,4,4,5,5,5,5,4,4,5,4,4,4,4,4,4
159,1,2,1,1,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4
160,3,2,2,2,1,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5,5,5,5
161,1,2,2,2,1,3,5,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,5,4
162,2,2,1,2,1,4,4,5,5,5,3,5,4,5,5,5,4,4,4,4,4,4,4,4
163,2,2,2,3,1,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4
164,1,1,1,1,0,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,5,5,5,5
165,2,2,2,3,0,2,4,4,4,5,5,5,5,4,5,5,4,5,4,4,4,4,5,5
166,1,2,1,2,1,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3
167,2,2,2,2,1,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,3,4,4,4
168,3,1,3,3,0,3,4,4,4,4,5,4,4,4,5,4,5,5,5,5,4,5,5,5
169,3,2,2,3,1,2,4,5,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4
170,4,2,2,4,1,1,5,5,5,5,3,4,4,4,5,4,5,4,4,4,4,5,5,5
171,4,2,2,4,1,1,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,4
172,2,2,2,3,1,3,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,5,5,5
173,1,1,1,1,1,4,3,4,3,3,3,4,3,3,3,3,4,4,4,4,4,4,3,4
174,1,2,2,3,1,3,4,4,4,4,5,5,4,4,4,4,5,4,5,5,5,4,4,4
175,4,2,3,4,1,2,4,4,5,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4
176,2,1,1,2,1,4,4,5,5,5,4,5,5,4,5,5,5,5,5,4,5,4,4,4
177,1,2,1,2,1,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,5,4,4,4
178,1,1,2,2,1,2,5,5,5,5,4,5,5,4,5,5,5,4,5,5,5,4,5,5
179,4,2,3,4,1,1,5,4,5,5,4,5,4,4,4,4,4,5,4,4,4,5,5,5
180,1,2,1,1,0,4,5,5,5,4,4,5,4,4,4,4,5,4,5,5,5,5,5,5
181,1,2,1,2,1,4,4,4,4,4,3,5,4,5,5,5,4,5,4,4,4,4,4,4
182,1,2,1,2,1,4,4,4,4,3,4,5,4,4,4,4,5,5,4,5,5,4,4,3
183,2,1,2,3,1,3,4,4,4,4,3,4,4,4,4,4,5,5,5,5,5,4,4,4
184,2,2,2,2,1,4,5,5,5,4,5,4,4,4,5,4,5,5,5,4,5,4,4,4
185,1,2,2,3,1,3,5,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4
186,1,1,2,2,1,4,4,3,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4
187,2,2,2,2,1,3,4,5,5,5,5,5,5,4,5,5,5,4,4,4,4,4,4,4
188,2,1,1,2,0,4,4,4,4,4,4,4,4,5,4,4,5,5,5,5,5,4,4,4
189,2,2,1,1,1,4,4,4,4,4,3,4,4,4,3,4,3,4,3,3,3,4,4,3
190,1,2,2,2,1,4,5,5,5,5,4,4,4,4,4,5,4,5,4,4,4,5,5,5
191,2,2,2,2,1,4,5,4,4,4,5,5,5,5,5,4,5,5,4,5,5,5,5,5
192,2,2,2,3,1,2,4,4,4,4,4,5,5,5,5,4,5,5,4,5,5,4,5,4
193,2,2,1,2,1,4,4,5,4,4,5,5,5,4,5,5,4,5,4,4,4,4,4,4
194,1,2,2,2,0,3,3,3,3,2,2,3,3,3,3,2,3,2,3,3,3,3,3,3
195,2,1,1,2,0,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4
196,2,2,2,3,1,2,5,4,5,5,4,4,4,4,5,4,4,4,4,4,4,5,4,5
197,4,1,3,4,1,1,4,4,4,5,5,5,5,5,4,5,4,4,4,4,4,4,5,5
198,1,2,2,2,1,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
199,2,2,2,2,1,4,5,5,4,5,5,4,4,4,4,5,4,4,4,4,5,5,5,5
200,2,2,2,3,1,2,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3
201,1,2,2,3,1,2,5,5,4,5,4,5,5,5,4,5,5,4,5,5,5,4,4,4
202,2,2,1,1,1,4,4,4,5,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4
203,2,1,2,2,0,4,4,4,4,5,4,4,4,5,4,4,4,4,5,4,4,4,3,4
204,4,2,3,4,1,1,3,4,4,4,3,3,3,4,3,3,4,4,4,5,4,4,4,4
205,1,2,2,2,0,4,5,5,5,5,4,5,4,5,5,5,4,4,4,4,4,4,4,4
206,1,2,1,1,1,4,5,5,4,5,4,4,4,4,4,5,4,4,5,4,4,4,4,4
207,1,2,2,2,0,4,4,4,4,4,3,4,5,4,4,4,3,3,3,4,3,3,4,3
208,2,2,2,2,1,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4
209,2,2,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5
210,2,1,1,2,1,4,4,4,3,4,3,4,3,3,3,3,3,4,3,3,3,4,4,4
211,2,2,2,2,1,4,4,5,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4
