ID;X1_1;X1_2;X1_3;X1_4;X1_5;X1_6;X1_7;X2_1;X2_2;X2_3;X2_4;X2_5;X3_1;X3_2;X3_3;X3_4;X3_5;X3_6;Y_1;Y_2;Y_3;Y_4;Y_5;Y_6;Y_7;Y_8;Y_9;Y_10
142;4;4;4;4;4;4;4;2;2;2;2;3;3;3;4;4;4;4;3;3;3;3;3;3;4;3;3;3
143;5;4;4;4;4;5;4;2;2;2;2;2;2;2;2;2;3;2;3;3;2;3;3;4;2;2;3;3
144;1;2;2;1;2;2;3;2;3;3;1;2;3;3;3;4;3;2;3;2;2;2;2;2;2;2;3;3
145;2;3;2;2;2;1;2;1;2;2;1;3;2;3;3;2;3;2;2;2;1;2;2;2;2;2;2;2
146;2;1;2;2;2;2;3;3;1;3;2;2;4;3;4;4;3;4;2;1;2;2;2;2;2;2;2;1
147;4;4;4;3;3;4;4;1;2;2;2;2;4;3;4;3;4;4;3;3;3;3;3;3;3;3;3;4
148;4;4;4;4;4;4;3;1;2;3;2;2;4;4;5;4;4;4;4;3;4;4;4;4;5;4;4;4
149;1;2;2;2;1;2;2;3;2;2;1;2;3;2;2;2;1;3;4;3;3;4;4;4;3;4;3;3
150;2;3;3;4;2;2;2;3;3;4;4;2;1;3;2;3;4;3;4;3;2;3;4;2;2;4;2;3
151;4;5;4;4;4;5;4;3;4;3;4;3;2;2;4;3;2;2;3;4;5;4;3;3;4;4;3;4
152;3;2;4;3;4;3;3;4;5;4;3;5;2;4;5;4;4;4;4;2;4;4;4;3;3;5;4;4
153;2;3;2;2;3;3;5;3;4;3;4;3;2;2;2;3;3;3;4;4;2;4;3;4;4;3;4;3
154;3;2;3;2;2;4;2;4;3;2;5;3;1;3;5;2;3;2;5;3;4;5;5;4;4;4;4;4
155;4;3;3;3;3;3;3;2;1;2;3;2;4;4;4;4;4;4;2;3;3;3;4;5;3;4;3;4
156;2;4;2;4;3;4;3;3;3;4;3;4;3;2;3;5;3;4;4;4;5;4;3;4;4;4;4;4
157;4;2;2;2;4;3;2;2;4;2;4;2;4;5;4;4;4;3;4;5;4;3;4;3;3;2;3;3
158;3;2;4;5;4;4;3;4;4;3;3;2;2;3;2;2;4;3;4;5;4;4;5;4;4;3;4;4
159;3;3;3;3;3;3;3;4;3;4;4;5;1;3;1;2;2;3;2;3;4;3;3;1;4;4;3;4
