ID;X1_1;X1_2;X1_3;X1_4;X1_5;X1_6;X1_7;X2_1;X2_2;X2_3;X2_4;X2_5;X3_1;X3_2;X3_3;X3_4;X3_5;X3_6;Y_1;Y_2;Y_3;Y_4;Y_5;Y_6;Y_7;Y_8;Y_9;Y_10
42;2;3;3;3;3;3;4;3;4;4;3;4;4;5;3;5;3;5;5;4;4;4;5;4;4;5;4;4
43;4;4;4;4;4;3;4;4;4;4;5;3;2;2;2;2;2;2;3;4;4;4;4;4;4;3;4;5
44;3;4;4;3;3;4;4;5;5;3;3;4;4;3;3;3;3;3;2;2;3;2;2;2;2;1;1;2
45;3;3;3;3;2;3;3;3;4;4;4;4;4;4;4;5;4;4;2;1;1;1;2;3;2;2;2;3
46;3;3;3;3;3;3;2;2;2;1;2;2;4;4;3;4;4;3;2;1;2;3;2;1;2;2;1;2
47;1;2;3;2;2;2;2;3;3;3;3;3;2;3;3;3;4;3;4;4;4;4;4;4;4;4;4;4
48;2;2;2;2;2;3;2;3;2;2;2;2;3;4;4;3;3;4;1;2;2;2;2;2;2;2;1;1
49;3;3;4;3;5;4;4;5;5;5;4;4;2;2;2;2;1;1;1;3;2;3;2;2;2;2;2;2
50;3;1;2;2;2;2;2;5;4;4;4;5;4;4;4;4;4;4;4;4;5;4;3;4;4;4;5;4
51;4;4;4;3;5;5;4;5;4;3;4;4;4;4;4;4;4;3;3;3;4;2;3;4;3;3;3;2
52;3;3;3;3;4;4;3;3;3;3;4;3;1;2;1;2;3;2;2;2;2;2;2;3;2;2;2;2
53;3;3;3;3;3;3;4;5;4;3;4;3;2;2;1;2;2;2;3;3;4;3;3;3;3;3;3;3
54;3;2;3;1;2;2;3;3;4;3;3;3;4;4;3;4;5;4;2;2;1;2;2;2;3;2;2;2
55;2;2;2;3;1;2;1;3;3;2;2;3;3;3;5;4;4;4;4;4;4;4;4;3;5;4;4;4
56;4;4;4;5;4;4;4;3;2;1;3;1;3;3;3;3;4;4;2;2;2;2;2;1;2;2;3;3
57;4;4;4;4;4;4;3;4;3;4;4;3;3;4;5;4;3;4;4;4;4;4;5;4;4;4;5;4
58;3;3;3;3;2;3;3;4;4;3;3;2;5;4;4;4;5;3;2;2;1;2;2;2;3;1;3;2
59;2;2;3;2;2;3;2;3;4;5;4;4;5;4;4;5;3;4;3;3;3;3;3;3;3;3;3;4
60;2;1;1;2;2;2;1;3;3;4;4;4;2;2;2;2;2;3;4;4;4;4;3;4;2;3;5;4
61;3;3;2;2;3;3;3;3;4;3;2;2;5;4;4;5;5;4;2;3;4;3;4;3;2;2;3;3
62;4;5;4;4;5;3;4;5;4;4;4;4;4;4;4;3;4;3;3;3;3;3;3;3;3;3;4;3
63;2;2;2;2;2;1;2;4;4;5;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;4;4
64;3;2;3;4;3;4;4;4;4;5;4;3;4;3;4;4;3;5;3;4;4;5;4;4;4;4;4;4
65;2;2;3;2;2;2;2;4;3;4;4;5;4;4;3;4;4;4;5;4;3;4;3;3;4;4;4;4
66;4;3;5;3;4;3;4;2;2;2;1;1;5;5;5;4;4;5;2;2;3;3;2;2;2;2;2;3
67;3;3;3;3;4;2;4;1;1;2;1;2;3;3;3;3;3;3;2;2;3;1;2;3;1;2;2;2
68;3;3;4;3;4;4;3;3;2;2;3;3;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2
69;2;3;2;2;2;3;2;2;3;3;3;3;2;2;2;2;2;2;5;5;4;4;4;4;4;4;4;4
